,efft,ymft,gwrt
4424,0.676332067447133,0.9999999999999999,0.8754772687452885
4128,0.8417110341885564,0.976409126436116,0.768208913368635
1894,0.5527229919029878,0.7489089178406193,0.9652885784995968
898,0.3812748958551171,0.31527889643616713,0.6361883823976502
503,0.7027665379893197,0.9810169583881782,0.8812039311935669
1838,0.45450656026805425,0.8247355094242593,0.7350797557987332
3351,0.608001948427764,0.9322073149757945,0.6767361172671307
122,0.6948256915579135,0.9456868411149385,0.82206276797785
4289,0.7943652369536124,0.9999999999999999,0.827319258080609
341,0.37090709406273137,0.4425562058437388,0.16276082095157396
1371,0.6448225454014164,0.8812691460866634,0.7744095067269128
1189,0.9319327070481408,0.9599070941199909,0.6167219624275955
740,0.8537689878025293,0.912652125715823,0.6599057073092125
967,0.6487544466269498,0.8657973201012837,0.6683127603491072
644,0.543867979195381,0.9999999999999999,0.6190847259807435
1546,0.6383333488543989,0.9999999999999999,0.7625461411935828
377,0.8980722686938923,0.9738310563786797,0.6803336972308809
726,0.6109912621850765,0.723102674960537,0.8053008832766018
3384,0.06952347584001273,0.9999999999999999,0.16300135758424816
3063,0.6142200265352807,0.9922640870073102,0.8603944788079081
4108,0.594305755119345,0.7195420775430345,0.8928310983307013
269,0.4760187014005407,0.6183077030485592,0.6887079656919279
3027,0.4328497971501425,0.9999999999999999,0.5208094397884644
2620,0.7572988318002433,0.9691976821208966,0.9088745274455874
1679,0.6759463617862164,0.9999999999999999,0.9206917174463103
668,0.8015457534995917,0.9844413301751692,0.8710456217367146
1562,0.489018464540281,0.9999999999999999,0.6999013605901316
2676,0.8508977847074807,0.8873277810036763,0.7931777252977394
3587,0.8960091372761089,0.9599326364257118,0.7778937948578277
3137,0.8143995417055857,0.9262440380001397,0.6711748943346805
2544,0.5194801849625871,0.9999999999999999,0.5949072012455363
813,0.8337879064616652,0.9561574836401531,0.6833912214834434
1210,0.7091346819491725,0.9327998964685206,0.9219294160302818
1928,0.6181183025326801,0.7274601923165339,0.8939554127512748
940,0.68788146605355,0.9832084882190372,0.8810415645420262
1805,0.8255458069779221,0.9683735170563003,0.7164282056457618
2819,0.3830680345151358,0.4060153832793255,0.8953901039660366
2428,0.8009567716490859,0.9717331816687981,0.7175771876078363
1374,0.2309405415106215,0.24492176391757647,0.4600394787342801
2798,0.7131931381717148,0.9761571090196693,0.9433770215566544
3522,0.8237375662610952,0.9531673310504186,0.7979307987383446
4049,0.6406479482330109,0.9933283497456836,0.6394050701239911
2074,0.6083471908861452,0.9999999999999999,0.6356418398839232
4259,0.6693933898119512,0.926567573872605,0.9506580268267997
1218,0.7355540618390551,0.9882590534702628,0.9077978384728242
1797,0.835289771610502,0.8988780116506968,0.658688897051928
3934,0.833614226061521,0.9884974483236585,0.8735128507342804
293,0.30512760491957247,0.9739894186741499,0.4925285611001282
4458,0.2842823995547886,0.5436390293242698,0.7052004791466833
3607,0.34398945840069384,0.9999999999999999,0.47223040729777144
742,0.8016114818691286,0.9527228949308738,0.7163173650400239
2546,0.8069298537953488,0.9762933346501811,0.8524700029976173
3444,0.7485727397278193,0.9635630494788517,0.8064468612538633
4051,0.6564105226232472,0.9762201133737808,0.7466775203283327
166,0.6945080426457407,0.8656764198542043,0.909890160381789
1712,0.48903715863351904,0.9999999999999999,0.81945062812499
2956,0.8339939860078679,0.8719547186004176,0.902739254503081
1161,0.521141674065695,0.74153911122993,0.2561454003415444
3206,0.7379113273817705,0.9999999999999999,0.8348940854596292
1553,0.7297001984811383,0.9754351131779565,0.9136231046775378
1497,0.6869970222413907,0.8923187475415529,0.8308756265317996
1440,0.7380880700511013,0.970658702008136,0.6382953595306693
126,0.3829266121029091,0.45451170774153227,0.8995462524055435
3849,0.7612899693341205,0.9907349543048148,0.9595500424819035
1435,0.7973235241745312,0.9310272604514856,0.6794700325214367
3511,0.775648312687803,0.9083967775827101,0.9434069261437519
414,0.7649757372384748,0.9859585431349943,0.8141800231670835
2327,0.9999999999999999,0.9999999999999999,0.2678270474384886
1987,0.8836323846858106,0.9674727250745409,0.8174210820684906
2605,0.857063036244763,0.9553418326774635,0.7498099360618935
2321,0.8192181018418773,0.9648078111776534,0.676783237699663
4257,0.4184705567555608,0.9999999999999999,0.4928528475046354
2607,0.5098491168965856,0.7509829530651618,0.7139899821038349
3199,0.8397318795113583,0.9589415949637382,0.7199132260873515
3858,0.8812587592310842,0.9696199815754835,0.6547764986344164
3175,0.6848304284224381,0.9707353289252988,0.7318167758926983
2488,0.7411857708658028,0.9358598646938924,0.9577356191786113
4542,0.7203928037756283,0.9999999999999999,0.6046827949166869
2056,0.6535397329216049,0.9999999999999999,0.7684717063419386
4048,0.675566277318509,0.9999999999999999,0.7497505101608575
636,0.5806254114956663,0.9966641748728416,0.7814956151008423
3407,0.7294553134842044,0.9832152995005626,0.8903675223024594
1032,0.8237191574768673,0.9473947699574806,0.6442326330377877
1231,0.18810369331937882,0.04476885064732705,0.7839021329792355
2725,0.6469430847885559,0.861089021746719,0.811201531109929
3051,0.6238906331720439,0.8965672843931404,0.7466227501950033
2565,0.4841952898884606,0.6355760045363134,0.8337629760150655
1607,0.7958209791640495,0.9999999999999999,0.5345165064489981
1091,0.8361615751486039,0.9999999999999999,0.6997550401787282
526,0.8111877813052774,0.9999999999999999,0.7085873852697835
884,0.6401387310346781,0.9999999999999999,0.7551082805473026
205,0.8266465841549938,0.9680567924653604,0.8150088795749386
3208,0.5166934941422038,0.8457534213918513,0.7452904735150232
698,0.6596637133555648,0.9653816616461844,0.6560834336127292
3198,0.78353980962725,0.9896059843919484,0.5927761820994535
210,0.9067755937724423,0.9999999999999999,0.8494750605105859
3082,0.36255990992706366,0.4752231120404725,0.7403776511316127
4168,0.7026509206353738,0.9999999999999999,0.44396481085341777
4350,0.3687745166264814,0.5776426495204007,0.67101176590371
