,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time
813,0.27505757484730153,0.30149193952137776,0.3801263411210268,0.13722957701000968,0.3933333333333334,0.6655540720961282,0.14357178589294683,0.2805805805805808,0.36388888888888893,0.0,0.0,0.6666666666666665
1210,0.9753679783718834,0.10583758886552519,0.720946555700391,0.9331611236680658,0.5133333333333334,0.3361148197596795,0.7608804402201099,0.6499499499499501,0.33611111111111114,0.0,0.0,0.3333333333333333
1928,0.6920997296485432,0.3105036547511765,0.647748922089642,0.708750403616403,0.0033333333333334103,0.6847463284379172,0.5972986493246624,0.6483483483483485,0.8361111111111111,0.0,0.6666666666666666,0.2222222222222222
940,0.8350856112946832,0.27956343246220083,0.06046325077709816,0.4733613174039393,0.6900000000000002,0.7731975967957274,0.8779389694847421,0.7714714714714717,0.44722222222222224,0.0,0.0,0.6666666666666665
1805,0.871933513567638,0.7739060779012716,0.6271934222400481,0.7607361963190183,0.4566666666666668,0.8491321762349799,0.1470735367683842,0.2593593593593593,0.2888888888888889,0.0,0.3333333333333333,0.5555555555555556
2819,0.4593972163812957,0.011014318614198458,0.9666098465857815,0.6118824669034549,0.8200000000000003,0.02853805073431237,0.673336668334167,0.02462462462462467,0.7805555555555556,0.0,0.0,0.1111111111111111
2428,0.9993992189846801,0.6755782517272454,0.09766369196831444,0.21214078140135614,0.8600000000000001,0.09913217623497994,0.18259129564782395,0.7472472472472473,0.33333333333333337,0.0,0.3333333333333333,0.5555555555555556
1374,0.23570641834384698,1.0,0.3483405194023865,0.5295447206974492,0.5700000000000001,0.06208277703604803,0.09754877438719411,0.7060060060060063,0.7000000000000001,0.0,0.0,0.0
2798,0.9036747772103735,0.6063883047962351,0.4283565627193422,0.9557636422344203,0.2533333333333333,0.006008010680907838,0.7988994497248623,0.43093093093093104,0.6138888888888889,0.0,0.0,0.6666666666666665
3522,0.40442575347952336,0.02513267247421648,0.6580768073799258,0.29867613819825634,0.7133333333333334,0.3266021361815754,0.3371685842921459,0.9341341341341345,0.5055555555555555,0.0,0.6666666666666666,0.6666666666666665
4049,0.010313407429658583,0.6217082206868929,0.39506668003609746,0.15789473684210523,0.7,0.7323097463284378,0.3651825912956479,0.16476476476476498,0.5305555555555556,0.0,0.3333333333333333,0.7777777777777777
2074,0.34695103634725144,0.6828877540803043,0.4797954477088138,0.7739748143364545,0.9966666666666668,0.31909212283044064,0.39569784892446247,0.5295295295295297,0.0,0.0,1.0,0.3333333333333333
4259,0.8811454891358768,0.7830179233002904,0.34733781209265013,0.09719082983532448,0.14666666666666672,0.6820761014686247,0.9094547273636819,0.46876876876876894,0.5833333333333334,0.0,0.0,0.3333333333333333
1218,0.414438770401522,0.6683688795434065,0.7969517697784017,0.9447852760736196,0.31333333333333346,0.4667890520694258,0.8449224612306154,0.11641641641641653,0.9944444444444445,0.0,0.3333333333333333,1.0
1797,0.06208070491639134,0.001101431861419852,0.7866238844881179,0.6509525347110107,0.30333333333333334,0.9584445927903873,0.1125562781390701,0.19099099099099104,0.9361111111111111,0.0,0.0,0.7777777777777777
3934,0.6982076699709623,0.01341744267547812,0.37521307530331893,0.777526638682596,0.8833333333333335,0.489652870493992,0.45772886443221594,0.5710710710710714,0.48888888888888893,0.0,0.6666666666666666,1.0
293,0.16831881445879648,0.8682286973064984,0.016745212072596004,0.7039070067807556,0.8566666666666667,0.2518357810413886,0.8139069534767382,0.9064064064064066,0.5583333333333333,0.0,0.0,1.0
4458,0.12095724441774303,0.9178932612396116,0.5548982252080618,0.8320955763642235,0.3333333333333335,0.8701602136181574,0.7803901950975485,0.4768768768768772,0.9694444444444444,0.0,0.6666666666666666,0.1111111111111111
3607,0.038149594472814685,0.8955642335035545,0.22580968615261204,0.6551501453019051,0.53,0.8528037383177569,0.402201100550275,0.6995995995995998,0.0,0.0,1.0,0.6666666666666665
742,0.9977971362771603,0.8677280464603986,0.15050636719141683,0.705521472392638,0.2566666666666668,0.7535046728971964,0.15857928964482282,0.21121121121121122,0.7305555555555556,0.0,0.3333333333333333,0.6666666666666665
2546,0.8769400220286372,0.549914889356163,0.37320766068384637,0.8353245075879884,0.3433333333333334,0.008344459279038707,0.3906953476738373,0.2944944944944947,0.5611111111111111,0.0,0.3333333333333333,0.8888888888888888
3444,0.557324521878442,0.30389506358265744,0.3551589291085932,0.9321924443009363,0.5033333333333334,0.5086782376502001,0.47623811905952973,0.4926926926926929,0.5416666666666667,0.0,0.6666666666666666,0.5555555555555556
4051,0.13667768098528088,0.4779212976869931,0.572144790935526,0.6464320309977398,0.28,0.40720961281708945,0.3611805902951475,0.7794794794794795,0.8222222222222223,0.0,0.3333333333333333,0.6666666666666665
166,0.4011214578952639,0.08310804045258835,0.5755539957886292,0.3419438165967065,0.1133333333333334,0.8953604806408544,0.6568284142071033,0.8112112112112113,0.6166666666666667,0.0,0.6666666666666666,0.3333333333333333
1712,0.1689195954741164,0.8079503354360669,0.5585079715231124,0.8640619954794965,0.29666666666666675,0.3419559412550066,0.9794897448724358,0.9194194194194196,0.0,0.0,1.0,1.0
2956,0.7728046460398519,0.3186141984579954,0.8535044620475283,0.01420729738456572,0.9866666666666668,0.12416555407209606,0.997498749374687,0.02402402402402415,0.675,0.0,0.3333333333333333,0.7777777777777777
1161,0.058776409332131796,0.8282767597877241,0.20936528627293693,0.9434937035841137,0.2666666666666667,0.5677570093457942,0.2156078039019511,0.4596596596596596,0.6444444444444445,0.0,0.0,0.3333333333333333
3206,0.6035846600580754,0.051967557825172726,0.3651860022059561,0.8995802389409105,0.3400000000000001,0.929739652870494,0.688344172086043,0.1785785785785785,0.0,0.0,1.0,0.4444444444444445
1553,1.0,0.6959046760789026,0.2175874862127745,0.533419438165967,0.81,0.4272363150867824,0.6853426713356678,0.8014014014014017,0.8111111111111111,0.0,0.3333333333333333,0.7777777777777777
1497,0.8404926404325623,0.25743466506458396,0.25990173468364586,0.5925088795608653,0.9466666666666668,0.19742990654205594,0.5557778889444718,0.6760760760760762,0.5694444444444444,0.0,0.3333333333333333,0.3333333333333333
1440,0.9083808951637129,0.6296185040552719,0.06908653364083023,0.7797868905392316,0.5900000000000001,0.07827102803738317,0.2931465732866432,0.25545545545545556,0.4027777777777778,0.0,0.0,0.5555555555555556
126,0.5798538099529389,0.15660358466005805,0.45743507470169453,0.9702938327413627,0.16666666666666674,0.7006008010680906,0.7788894447223611,0.3286286286286286,0.8527777777777779,0.0,0.0,0.1111111111111111
3849,0.6324221487934314,0.1532992890757985,0.4012834653564625,0.8495318049725541,0.21000000000000008,0.6275033377837116,0.8419209604802398,0.05675675675675684,0.4027777777777778,0.0,0.0,0.8888888888888888
1435,0.21908481025332938,0.6405326925002504,0.7954477088137972,0.043590571520826626,0.21666666666666667,0.8122496662216288,0.25412706353176606,0.2451451451451454,0.513888888888889,0.0,0.3333333333333333,0.6666666666666665
3511,0.9418243716831882,0.03244217482727547,0.6746214779905746,0.5305134000645786,0.14333333333333342,0.8177570093457944,0.6483241620810407,0.050950950950951146,0.5583333333333333,0.0,0.3333333333333333,0.4444444444444445
414,0.12316010814058276,0.5398017422649444,0.6003208663391156,0.10752340975137228,0.8633333333333333,0.6425233644859814,0.9744872436218106,0.6431431431431434,0.8555555555555556,0.0,0.3333333333333333,0.7777777777777777
2327,0.13307299489336133,0.599679583458496,0.970019051438885,0.12818856958346783,0.9466666666666668,0.18741655540720947,0.006003001500750393,0.7220220220220224,0.0,0.0,1.0,1.0
1987,0.9259036747772105,0.24171422849704616,0.7611551188208162,0.12366806587019694,0.09999999999999998,0.432576769025367,0.3621810905452727,0.276876876876877,0.5527777777777778,0.0,0.6666666666666666,0.5555555555555556
2605,0.5596275157705016,0.6334234504856313,0.9759350245663291,0.244752986761382,0.6766666666666667,0.914218958611482,0.20910455227613856,0.5955955955955958,0.4916666666666667,0.0,0.3333333333333333,1.0
2321,0.06388304796235106,0.6691699208971663,0.6629900731976337,0.03067484662576689,0.5333333333333334,0.13351134846461943,0.5192596298149073,0.12982982982982993,0.8388888888888889,0.0,0.0,0.8888888888888888
4257,0.012015620306398356,0.742665465104636,0.748521006718139,0.7061672586373909,0.30333333333333334,0.38551401869158863,0.4227113556778388,0.13653653653653652,0.0,0.0,1.0,0.4444444444444445
2607,0.7187343546610594,0.6431360768999699,0.2458638323473378,0.3280594123345173,0.8600000000000001,0.6435246995994659,0.417208604302151,0.8980980980980982,0.32222222222222224,0.0,0.0,0.1111111111111111
3199,0.8029438269750677,0.37658956643636726,0.5008523012132758,0.7587988375847594,0.7466666666666668,0.5445594125500668,0.18559279639819914,0.19069069069069067,0.46944444444444444,0.0,0.6666666666666666,0.5555555555555556
3858,0.3063983178131571,0.4048262741564033,0.8743607740900431,0.48143364546335166,0.35,0.4788050734312417,0.027013506753377214,0.15515515515515532,0.6916666666666667,0.0,0.6666666666666666,1.0
3175,0.44868328827475723,0.8189646540502653,0.34463050235636217,0.6864707781724249,0.8800000000000001,0.8234312416555407,0.3196598299149578,0.6976976976976978,0.625,0.0,0.6666666666666666,0.6666666666666665
2488,0.07950335436066891,0.0991288675277861,0.9015341421838965,0.3593800452050371,0.30333333333333334,0.8167556742323097,0.9359679839919957,0.7878878878878881,0.8305555555555556,0.0,0.6666666666666666,0.6666666666666665
4542,0.578652247922299,0.9330129167918293,0.14158227213476385,0.9228285437520182,0.9800000000000002,0.9080440587449934,0.253626813406703,0.6722722722722723,0.0,0.0,1.0,0.6666666666666665
2056,0.4119355161710223,0.835386001802343,0.6951769778401684,0.859864384888602,0.6366666666666667,0.1638851802403204,0.4512256128064034,0.7440440440440443,0.0,0.0,1.0,0.7777777777777777
4048,0.3069990988284771,0.17252428156603586,0.18790734984458035,0.8714885372941555,0.8866666666666667,0.446595460614152,0.6478239119559781,0.7255255255255257,0.0,0.0,1.0,0.5555555555555556
636,0.16321217582857717,0.6348252728547111,0.29740298806778304,0.6884081369066839,0.3366666666666668,0.8352803738317756,0.6058029014507249,0.9681681681681684,0.55,0.0,0.3333333333333333,1.0
3407,0.1191549013717833,0.21878441974566937,0.8216183695979143,0.7943170810461738,0.07333333333333336,0.7296395193591456,0.8284142071035512,0.3524524524524526,0.7361111111111112,0.0,0.6666666666666666,0.8888888888888888
