,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,Sw,time,efft,watt,ymft,gwrt,capt
31,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,2.0,0.5262273490233221,113156.34999999999,0.766969,267657.00731775106,44143010000.00001
32,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,3.0,0.5824191368776691,129586.70000000004,0.838611,242322.70750007516,45214679999.999985
33,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,4.0,0.6195242622823458,130803.09999999998,0.879961,246086.52241422416,45720500000.000015
34,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,5.0,0.6471642031291633,124255.49999999999,0.907789,264870.36791127967,46165699999.999985
35,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,6.0,0.6613253025386482,119458.60000000005,0.924682,278635.44357626804,46540500000.00004
36,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,7.0,0.6728446972382639,113649.40000000001,0.937215,295795.6663211598,46825599999.999954
37,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,8.0,0.6849122963629877,101598.39999999997,0.948693,335035.7879651648,47148600000.000046
38,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,9.0,0.6943954724204211,96358.10000000003,0.956385,355570.52287249325,47188899999.99999
39,2016.5,217.524,196.3045,0.1609,0.0214,0.5524,0.7872,46.368,0.286,10.0,0.6979187257383613,94262.29999999987,0.961964,364270.7636032649,47327799999.99997
40,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,1.0,0.39030773786114964,1392.18,0.463029,8532589.176686922,14092150000.0
41,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,2.0,0.48456852590934507,1344.4330000000002,0.58041,9451746.572718758,15220569999.999998
42,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,3.0,0.548783892220637,1289.1579999999997,0.661087,9951472.20123523,15454349999.999998
43,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,4.0,0.5981410105169429,1238.6090000000004,0.709231,10629488.401908912,15611000000.000004
44,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,5.0,0.632634970767411,1186.363,0.742277,11309152.42636529,15742020000.000004
45,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,6.0,0.6589632218322886,1133.4679999999996,0.766683,12009408.29383802,15837459999.999992
46,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,7.0,0.6801802664066502,1085.7290000000007,0.785942,12691445.102783471,15922049999.999998
47,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,8.0,0.6977480157190824,1036.9949999999992,0.801492,13426438.893148007,15993300000.000006
48,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,9.0,0.7125820932544378,988.3950000000006,0.814352,14213548.227176366,16054999999.999992
49,2222.5,230.748,38.3626,0.3457,0.0219,0.9935,0.7104,53.733,0.2143,10.0,0.7253127119012287,936.4799999999996,0.825202,15120451.050743213,16110100000.000017
50,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,1.0,0.46164544259380236,6777318.0,0.555511,6278.347865630622,51202050000.0
51,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,2.0,0.5930661343463796,5646831.999999999,0.742887,8811.98342716766,62330150000.0
52,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,3.0,0.6592742411476699,5049530.000000003,0.818821,10483.143975775962,65745400000.0
53,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,4.0,0.6914784942276543,4748869.999999996,0.854732,11506.926911033575,67546200000.0
54,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,5.0,0.7266034066062453,4470680.000000002,0.883615,12673.843800048315,68904499999.99998
55,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,6.0,0.7445450545898891,4308119.999999999,0.900948,13406.288589918575,69888399999.99998
56,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,7.0,0.7574271778400035,4176790.0000000005,0.913377,14031.66067721863,70674200000.00005
57,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,8.0,0.7747040585840863,4030210.0000000037,0.926512,14811.635125713028,71391400000.00003
58,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,9.0,0.7839434940547767,3932929.999999999,0.934248,15330.961903720648,71856000000.0
59,2418.75,93.723,672.328,0.3061,0.0264,0.8714,0.6878,58.575,0.6705,10.0,0.7962491518416904,3817609.999999995,0.942644,16016.067644416293,72384599999.99998
60,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,1.0,0.47597775418051796,2257423.0,0.621998,24141.005030957862,71214860000.0
61,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,2.0,0.5771233846091487,1975539.9999999995,0.78458,30130.364356074802,80920540000.0
62,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,3.0,0.6407171630363643,1811119.0000000007,0.850057,34463.99712001254,82812199999.99998
63,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,4.0,0.6799612802015845,1709002.999999999,0.887426,37596.013582187996,83855699999.99998
64,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,5.0,0.7070297130712684,1632610.9999999998,0.911214,40151.695658059376,84483000000.0
65,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,6.0,0.7226796186868865,1578574.0000000014,0.924992,42022.73697653702,84906600000.00003
66,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,7.0,0.7412345467508542,1527509.9999999995,0.93725,44115.52133864921,85207000000.0
67,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,8.0,0.7483679788004258,1501080.0,0.944735,45118.24819463318,85496999999.99995
